rat,operator,env,file,mean,median,std,count
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_ch_iw_tti_0.csv,0.3048448732189172,0.28018073940135557,0.11828407038930985,32315
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.3141961237161437,0.2890253173521928,0.12318849560357893,23753
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.32735411352720345,0.2965571285399356,0.1183239258645657,41106
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.3212353225339538,0.2916683028814652,0.11801955422964136,49939
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_ch_iw_tti_0.csv,0.48356469816609815,0.4615932290700011,0.1871905374630718,39522
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.37895676817608115,0.34163331818992987,0.16010950948041397,55013
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_it_iw_tti_0.csv,0.4927705745712455,0.46999217591996134,0.18518311107587532,32767
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.38689959339742264,0.3520307752751979,0.16445470805529502,32933
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_se_iw_tti_0.csv,0.49193987353012397,0.4625094516216028,0.18601961901065495,35611
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.38716665825635493,0.3533542107652453,0.16712002152699523,40322
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_ch_iw_tti_0.csv,0.42146131421008964,0.3974618806540848,0.14449772054073248,30029
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.3851983503872044,0.38859072426300173,0.12988736972897422,34750
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_it_iw_tti_0.csv,0.44288751401943355,0.451975036931262,0.14003646477676457,29562
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.41318941719759594,0.4169629977966928,0.12229172431840478,32674
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_se_iw_tti_0.csv,0.4284603457669192,0.421211687035209,0.14509298596158168,29681
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.41324608643218996,0.41165941960351865,0.12025518104607374,40311
5G,Iliad/Wind,outdoor_driving,5G/location_7_od_interactivity_egaming_ch_iw_tti_0.csv,0.4785276667789033,0.4655636248045104,0.1578981373060514,49802
5G,Iliad/Wind,outdoor_driving,5G/location_7_od_interactivity_egaming_it_iw_tti_0.csv,0.47625907249265387,0.460829726485895,0.16059112885748697,51324
5G,Iliad/Wind,outdoor_driving,5G/location_7_od_interactivity_egaming_se_iw_tti_0.csv,0.4582134311911714,0.4416020663033856,0.15784842859404,41471
5G,Iliad/Wind,outdoor_driving,5G/location_7_od_interactivity_egaming_se_tti_0.csv,0.4923944886505343,0.4828153782946934,0.16723657402920775,39672
5G,Iliad/Wind,outdoor_driving,5G/location_7_od_interactivity_egaming_se_tti_1.csv,0.5089057024509298,0.5027771493310156,0.17380803590413516,36769
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_iw_tti_0.csv,0.4447856406844215,0.42280618236275325,0.16038311992581192,37152
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.433062237761405,0.40696936153823526,0.1725705230679516,38330
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_it_iw_tti_0.csv,0.4251203125343068,0.4025887242249309,0.16687807428602383,39231
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.43904390329132553,0.41575001198657213,0.16547133637723843,37661
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_se_iw_tti_0.csv,0.42134983620904237,0.39776317577271403,0.16421602145639083,39177
5G,Iliad/Wind,outdoor_driving,5G/location_9_od_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.44098766855258836,0.41832810815144916,0.16637662525633048,37168
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_1.csv,0.4628482393655563,0.44289798983137696,0.18563935577549448,21192
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_2.csv,0.4762474326520896,0.46647988905558635,0.18140909398318764,22476
5G,TIM/Vodafone,inside,5G/location_11_is_interactivity_egaming_ch_tv_tti_3.csv,0.478231800873872,0.4751836611127831,0.18287794121825157,25772
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_1.csv,0.38087948055967746,0.3508553923435212,0.15861969185037134,29516
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_2.csv,0.36329179818537155,0.34061248509212066,0.15148516634894274,25437
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_3.csv,0.37283337391813326,0.34557810939884015,0.14881438467872787,17252
5G,TIM/Vodafone,inside,5G/location_13_is_interactivity_egaming_ch_tv_tti_0.csv,0.4260103799049492,0.42660512306592824,0.16595321002615918,30468
5G,TIM/Vodafone,inside,5G/location_13_is_interactivity_egaming_ch_tv_tti_1.csv,0.4205666303049143,0.4196937352665969,0.16627780361624242,27506
5G,TIM/Vodafone,inside,5G/location_15_is_interactivity_egaming_ch_tv_tti_0.csv,0.23935926793014284,0.22216250109665753,0.07861937406672403,11421
5G,TIM/Vodafone,inside,5G/location_15_is_interactivity_egaming_ch_tv_tti_1.csv,0.24865217907337997,0.23494643037354696,0.07690106320164214,5095
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_ch_tv_tti_88.csv,0.3433543786094701,0.2969773721159656,0.1592833580093715,62892
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_ch_tv_tti_99.csv,0.3415550598969323,0.29795867073823906,0.15686067136704326,108252
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_1.csv,0.3458973531811969,0.3006273151740828,0.15267237052963184,9520
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_2.csv,0.31955075371033326,0.27510933915179914,0.14038633625582364,97950
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_3.csv,0.32177041346909174,0.27839534815853406,0.13843452333509793,55044
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_lte_only_1.csv,0.33698309890312306,0.28791481704880856,0.14343209755138292,60838
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_lte_only_2.csv,0.3382361897752495,0.28749873852812113,0.15001408664570925,45371
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_11.csv,0.37480509485636654,0.3326195970354567,0.15009711640380644,53801
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_22.csv,0.3833669539516728,0.34484672781429243,0.14680960157889844,57841
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_33.csv,0.3643600062394815,0.32324011600434827,0.14726023271543534,75837
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_44.csv,0.3672077117797568,0.3269829822593156,0.14696399950533137,52241
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_55.csv,0.37560460391163836,0.33595596597381855,0.14686641440879636,59265
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_0.csv,0.45034578924446395,0.4122651089026478,0.17706722662849014,52991
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_1.csv,0.4528420618305009,0.41468900183701557,0.17649942787053602,27592
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_2.csv,0.45958505416101847,0.4221227473187551,0.1798315164279209,30425
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_3.csv,0.46213863996565535,0.45533318051023797,0.17838922098710605,40648
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_4.csv,0.4677399006537832,0.46357839913758997,0.1807172569657813,33293
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.46809369420937236,0.4206044332189163,0.17925795433184158,30985
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.4824343313036119,0.4320052161173996,0.17779114976326024,23480
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.46988203547249097,0.4244013143238787,0.18065069292746236,27535
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_0.csv,0.4295882170105911,0.4050047802572084,0.17224993712323103,46537
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_1.csv,0.4256303041817828,0.39625706598814947,0.17308551497133925,43954
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_2.csv,0.4235162198239529,0.38754050390155964,0.1716495982400682,44204
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.46461140083754066,0.4301791434187595,0.16698832224551138,38666
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_0.csv,0.4519455849836649,0.4148405542969644,0.17993501839947415,30153
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_1.csv,0.4558505652361926,0.41817640343712276,0.18096439837445244,31007
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_2.csv,0.44953935716058147,0.4137798318219765,0.18044146352659743,29398
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.47249947698928585,0.429114251850377,0.1779231804219881,25300
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_1.csv,0.46520657986655395,0.4268331670051906,0.17598538504726777,27761
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_2.csv,0.46406829089049006,0.4180247051226,0.17738785935336274,28114
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_1.csv,0.2899925911261591,0.2733349382734163,0.09606550860953658,18814
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_2.csv,0.28722306387990915,0.2681707738468149,0.09813853603815015,26342
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_3.csv,0.28475675484235446,0.2656014454242132,0.0967292115297288,25823
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_0.csv,0.36952309626581037,0.3442619036857363,0.1340063207240636,28246
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_1.csv,0.3711603317203458,0.34323906631098433,0.13371631164894107,29511
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_2.csv,0.390844918547357,0.3740852712564625,0.13127352687461866,20788
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.3779489727399091,0.36828424768783674,0.13713961172137018,27935
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.38459941586285135,0.3727449030700198,0.13188764990902133,18821
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.3830178898708982,0.3727449030700198,0.12957478633464245,22305
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_0.csv,0.3633615089227585,0.35644680827068087,0.1323998887005337,33621
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_1.csv,0.3656605198075983,0.35482608247937353,0.12211189859860298,36459
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_2.csv,0.3655400125151474,0.35526792634030924,0.11887726770856331,33670
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.3836363833873176,0.3688783471110155,0.1379412666453145,36765
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_1.csv,0.3860039580832899,0.36976987759829527,0.1377338962503331,29842
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_2.csv,0.38487840450890815,0.3670224693560556,0.13890637067844058,36582
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_0.csv,0.3716750770170108,0.35865966160611845,0.13268122352027123,30303
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_1.csv,0.37779214321121274,0.36553922137962647,0.13298438461045659,28586
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_2.csv,0.37111728450634957,0.35925028937771963,0.13447987887150475,35647
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.3739541935968244,0.36717086569709734,0.13512278116113882,29458
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_1.csv,0.3772841904822843,0.37319158293500093,0.13447285435567022,24811
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_2.csv,0.3700830300766131,0.36013664778488286,0.13395449605780693,25634
5G,TIM/Vodafone,outdoor_driving,5G/location_10_od_interactivity_egaming_ch_tv_tti_0.csv,0.4285315754595343,0.4025887242249309,0.1671861707551676,23994
5G,TIM/Vodafone,outdoor_driving,5G/location_10_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.4473580549460576,0.4332229652810507,0.1656818622050899,17500
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_0.csv,0.39638283906291377,0.36561335109216275,0.16056990943679644,9363
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_1.csv,0.40099527332663487,0.3700671555331069,0.1593302451053075,8192
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_2.csv,0.42017807295682835,0.38656575585739833,0.16344782304751743,8132
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_3.csv,0.34620363269906246,0.31879347678258585,0.13871518820391088,20915
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.4131923675222332,0.38080151382681127,0.1621961440135817,8313
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.41209622883209435,0.38035303761128914,0.16311218467364733,9487
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.41348206317995934,0.38574131834480174,0.1573034853624243,9076
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_it_tv_tti_0.csv,0.3710558226959831,0.3460171249498086,0.13523369295325036,20570
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_it_tv_tti_1.csv,0.3747876988942686,0.34968096386590264,0.14105864593792392,17775
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_it_tv_tti_2.csv,0.3767959443352193,0.3517368405526279,0.14050769327202806,19740
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.3677060724748701,0.34367733064924444,0.13763412029455208,18112
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_se_tv_tti_0.csv,0.3722722212330466,0.3495342278621565,0.13483402099459554,16354
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_se_tv_tti_1.csv,0.373010833419394,0.3493875069290195,0.13530109725639272,17715
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_se_tv_tti_2.csv,0.3865625166717568,0.3653168453867244,0.1340669678385332,16669
5G,TIM/Vodafone,outdoor_driving,5G/location_4_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.36135692280210313,0.33639179852186624,0.13925586965730702,17359
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_ch_tv_tti_0.csv,0.5222833574539745,0.5149288631078742,0.1647427226777489,45969
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_ch_tv_tti_1.csv,0.5030442292656998,0.4927277844177931,0.1709956697308581,31298
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_ch_tv_tti_2.csv,0.5256163690500486,0.5200812640424174,0.16689122011758947,35089
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.5369021939456463,0.5356358782510978,0.16165931852807458,38839
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_it_tv_tti_0.csv,0.4714829001589761,0.45930277631597455,0.15141506863720705,47113
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_it_tv_tti_1.csv,0.4853124002362049,0.47335149343446137,0.1546316745653213,41687
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_it_tv_tti_2.csv,0.487932949826707,0.4738095500627835,0.15172572119613476,31895
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.5408053338282497,0.5390966019453826,0.1622138662918821,44118
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_se_tv_tti_2.csv,0.517862572074294,0.5099207665413414,0.1655002438829593,43908
5G,TIM/Vodafone,outdoor_driving,5G/location_7_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.5572648680865816,0.5551253804239147,0.15351732989300856,46357
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_tv_tti_0. sqc.csv,0.4268603205591908,0.40440056803917235,0.16914744673636498,39985
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_tv_tti_1.csv,0.4301535802367396,0.4025887242249309,0.17601627266072126,32475
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_tv_tti_2.csv,0.41614449022259237,0.38904097277097277,0.16649559140440356,33329
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.43181286152854365,0.40047644526200776,0.1702095722073243,33309
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_it_tv_tti_0.csv,0.45374100610838447,0.43444099621310045,0.17038206740846001,36850
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_it_tv_tti_1.csv,0.48155141554593667,0.4670907309300544,0.1681447665322173,46348
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_it_tv_tti_2.csv,0.46225935368001025,0.4416020663033856,0.1674619080194102,42966
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.43653236941161094,0.4078765426507463,0.17603348785595124,42075
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_se_tv_tti_0.csv,0.43137594988298805,0.40696936153823526,0.1724525478189028,37878
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_se_tv_tti_1.csv,0.4293045268198686,0.4048537149620474,0.17419102844039389,39646
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_se_tv_tti_2.csv,0.4171548198986406,0.3930972732977559,0.16694075858442123,40931
5G,TIM/Vodafone,outdoor_driving,5G/location_9_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.43325918763001287,0.4054580248297306,0.16896087005549368,33171
5G,TIM/Vodafone,outside_walking,5G/location_4_ow_interactivity_egaming_ch_tv_tti_00.csv,0.4278812627943297,0.4024377916458772,0.15702077412445112,56563
5G,TIM/Vodafone,outside_walking,5G/location_4_ow_interactivity_egaming_ch_tv_tti_5gggg.csv,0.4023238043310886,0.36976987759829527,0.15742863120302797,57144
